Industry Name,Industry Sector,SIC Code
Polishes and sanitation goods,Manufacturing,2842
Surface active agents,Manufacturing,2843
Toilet preparations,Manufacturing,2844
Paints and allied products,Manufacturing,285
"Paints, varnishes, lacquers, enamels, and allied products",Manufacturing,2851
Industrial organic chemicals,Manufacturing,286
Gum and wood chemicals,Manufacturing,2861
Cyclic crudes and intermediates,Manufacturing,2865
"Industrial organic chemicals, nec",Manufacturing,2869
Agricultural chemicals,Manufacturing,287
Nitrogenous fertilizers,Manufacturing,2873
Phosphatic fertilizers,Manufacturing,2874
"Fertilizers, mixing only",Manufacturing,2875
"Agricultural chemicals, nec",Manufacturing,2879
Miscellaneous chemical products,Manufacturing,289
Adhesives and sealants,Manufacturing,2891
Explosives,Manufacturing,2892
Printing ink,Manufacturing,2893
Carbon black,Manufacturing,2895
"Chemical preparations, nec",Manufacturing,2899
Petroleum and coal products,Manufacturing,29
Petroleum refining,Manufacturing,291
Asphalt paving and roofing materials,Manufacturing,295
Asphalt paving mixtures and blocks,Manufacturing,2951
Asphalt felts and coatings,Manufacturing,2952
Misc. petroleum and coal products,Manufacturing,299
Lubricating oils and greases,Manufacturing,2992
"Petroleum and coal products, nec",Manufacturing,2999
Rubber and misc. plastics products,Manufacturing,30
Tires and inner tubes,Manufacturing,301
Rubber and plastics footwear,Manufacturing,302
Hose & belting & gaskets & packing,Manufacturing,305
Rubber & plastics hose & belting,Manufacturing,3052
"Gaskets, packing and sealing devices",Manufacturing,3053
"Fabricated rubber products, nec",Manufacturing,306
Mechanical rubber goods,Manufacturing,3061
"Fabricated rubber products, nec",Manufacturing,3069
"Miscellaneous plastics products, nec",Manufacturing,308
Unsupported plastics film & sheet,Manufacturing,3081
Unsupported plastics profile shapes,Manufacturing,3082
Laminated plastics plate & sheet,Manufacturing,3083
Plastics pipe,Manufacturing,3084
Plastics bottles,Manufacturing,3085
Plastics foam products,Manufacturing,3086
Custom compound purchased resins,Manufacturing,3087
Plastics plumbing fixtures,Manufacturing,3088
"Plastics products, nec",Manufacturing,3089
Leather and leather products,Manufacturing,31
Leather tanning and finishing,Manufacturing,311
Footwear cut stock,Manufacturing,313
Boot and shoe cut stock and findings,Manufacturing,3131
"Footwear, except rubber",Manufacturing,314
House slippers,Manufacturing,3142
"Men's footwear, except athletic",Manufacturing,3143
"Women's footwear, except athletic",Manufacturing,3144
