"County
Number","District
Number","School
Number","County
Name",District Name,School Name,Enrollment,Number tested,"Percent
tested","Average
score",Total scores above 21,Percent scores above 21,,,
05,10058,0530154,Calaveras,Calaveras Co. Office of Education,Mountain Oaks,31,0,0,    0,       0,     0.0,,,
05,61556,0530014,Calaveras,Bret Harte Union High,Vallecito Continuation High,25,0,0,    0,       0,     0.0,,,
05,61556,0530121,Calaveras,Bret Harte Union High,Vierra (John) High (Altern),21,0,0,    0,       0,     0.0,,,
05,61556,0532507,Calaveras,Bret Harte Union High,Bret Harte Union High,168,16,9.5,    23.5,      11,     6.5,,,
05,61564,0530022,Calaveras,Calaveras Unified,Gold Strike High (Cont.),24,0,0,    0,       0,     0.0,,,
05,61564,0530063,Calaveras,Calaveras Unified,West Point High (Cont.),7,0,0,    0,       0,     0.0,,,
05,61564,0530113,Calaveras,Calaveras Unified,Lind (Jenny) High (Cont.),18,0,0,    0,       0,     0.0,,,
05,61564,0531509,Calaveras,Calaveras Unified,Calaveras High,247,36,14.6,    21.6,      24,     9.7,,,
06,10066,0630111,Colusa,Colusa Co. Office of Education,Colusa County Community,4,0,0,    0,       0,     0.0,,,
06,10066,0634774,Colusa,Colusa Co. Office of Education,Juvenile Hall-Neilson,35,0,0,    0,       0,     0.0,,,
06,10066,6069264,Colusa,Colusa Co. Office of Education,Special Education,5,0,0,    0,       0,     0.0,,,
06,61598,0630012,Colusa,Colusa Unified,Colusa Alternative High (Cont.),15,1,6.7,NA,NA,NA,,,
06,61598,0630046,Colusa,Colusa Unified,Colusa Alternative Home,3,0,0,    0,       0,     0.0,,,
06,61598,0631259,Colusa,Colusa Unified,Colusa High,116,17,14.7,    19.6,       5,     4.3,,,
06,61606,0630095,Colusa,Maxwell Unified,Prine (Enid) High (Cont.),3,0,0,    0,       0,     0.0,,,
06,61606,0634758,Colusa,Maxwell Unified,Maxwell High,35,8,22.9,NA,NA,NA,,,
06,61614,0630087,Colusa,Pierce Joint Unified,Arbuckle Alternative High (Cont.),8,0,0,    0,       0,     0.0,,,
