"County
Number","District
Number","School
Number",County Name,District Name,School Name,Enrollment,"Number
tested","Percent
tested",Verbal,Critical reading,Math,Writing,Total,Total scores above 1500,Percent scores above 1500,Total scores above 1000,Percent scores above 1000,,,,
03,32276,0330027,Amador,Amador Co Cya,Pine Grove Youth Conservation Camp,16,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
03,32276,0337352,Amador,Amador Co Cya,Preston School of Industry,55,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
03,10033,0330035,Amador,Amador County Office of Education,Amador County Juvenile Hall/Community,1,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
03,10033,0330068,Amador,Amador County Office of Education,Amador County Special Education,31,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
03,73981,0330753,Amador,Amador County Unified,Amador County High,173,      75,    43.4,   529.7,NA,   528.0,NA,  1057.7,NA,NA,      49,    28.3,,,,
03,73981,0330019,Amador,Amador County Unified,Independence High (Cont),59,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
03,73981,0334755,Amador,Amador County Unified,Jackson High,128,      47,    36.7,   514.0,NA,   530.0,NA,  1044.0,NA,NA,      30,    23.4,,,,
03,73981,0330050,Amador,Amador County Unified,North Star Independent Study,25,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,61408,0430827,Butte,Biggs Unified,Biggs High,60,      19,    31.7,   467.4,NA,   505.3,NA,   972.6,NA,NA,       8,    13.3,,,,
04,61408,0430207,Butte,Biggs Unified,Biggs Secondary Community Day,1,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,10041,0430066,Butte,Butte County Office of Education,Butte County Juvenile Hall/Community,10,       2,    20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,10041,6069256,Butte,Butte County Office of Education,Butte County Special Education,3,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,10041,0430090,Butte,Butte County Office of Education,Learning Community Charter,95,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,10041,0106500,Butte,Butte County Office of Education,North County Community,17,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,10041,0430165,Butte,Butte County Office of Education,School of Applied Resources,11,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,10041,0106492,Butte,Butte County Office of Education,South County Community,14,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,61424,6113310,Butte,Chico Unified,Center for Alternative Learning,1,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,61424,0431676,Butte,Chico Unified,Chico High,444,     206,    46.4,   520.2,NA,   543.9,NA,  1064.2,NA,NA,     142,    32.0,,,,
04,61424,0431502,Butte,Chico Unified,Fair View High (Continuation),96,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,61424,0430215,Butte,Chico Unified,Loma Vista,4,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,61424,0430199,Butte,Chico Unified,Oakdale,48,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,61424,0437558,Butte,Chico Unified,Pleasant Valley High,454,     177,    39.0,   527.3,NA,   546.8,NA,  1074.2,NA,NA,     120,    26.4,,,,
04,61432,0433201,Butte,Durham Unified,Durham High,105,      41,    39.0,   542.9,NA,   537.8,NA,  1080.7,NA,NA,      27,    25.7,,,,
04,61432,0430124,Butte,Durham Unified,Mission High,6,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,75507,0433946,Butte,Gridley Unified,Esperanza High (Cont),19,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,75507,0433953,Butte,Gridley Unified,Gridley High,161,      39,    24.2,   502.6,NA,   529.5,NA,  1032.1,NA,NA,      21,    13.0,,,,
04,61515,0430116,Butte,Oroville Union High,Challenge Charter High,58,       4,     6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,61515,0434803,Butte,Oroville Union High,Las Plumas High,323,      61,    18.9,   514.1,NA,   509.7,NA,  1023.8,NA,NA,      37,    11.5,,,,
04,61515,0435602,Butte,Oroville Union High,Oroville High,221,      50,    22.6,   441.0,NA,   471.4,NA,   912.4,NA,NA,      14,     6.3,,,,
04,61515,0430140,Butte,Oroville Union High,Oroville High Community Day,3,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,61515,0437566,Butte,Oroville Union High,Prospect High (Continuation),54,       1,     1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,61531,6112585,Butte,Paradise Unified,Hometech Charter,9,       1,    11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,61531,0430132,Butte,Paradise Unified,Paradise Charter Network (155),28,       1,     3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,61531,0430108,Butte,Paradise Unified,Paradise Community Day,2,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
04,61531,0437350,Butte,Paradise Unified,Paradise Senior High,357,      90,    25.2,   545.0,NA,   537.4,NA,  1082.4,NA,NA,      64,    17.9,,,,
04,61531,0432856,Butte,Paradise Unified,Ridgeview High (Continuation),37,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
05,61556,0532507,Calaveras,Bret Harte Union High,Bret Harte Union High,171,      83,    48.5,   518.2,NA,   509.8,NA,  1028.0,NA,NA,      45,    26.3,,,,
05,61556,0530014,Calaveras,Bret Harte Union High,Vallecito Continuation High,21,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
05,61556,0530121,Calaveras,Bret Harte Union High,Vierra (John) High,19,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
05,10058,0530147,Calaveras,Calaveras County Office of Education,Angels Creek Community Day,3,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
05,10058,6077150,Calaveras,Calaveras County Office of Education,Calaveras County Special Education (SELPA),2,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
05,10058,0530154,Calaveras,Calaveras County Office of Education,Mountain Oaks,30,       4,    13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
05,10058,0530048,Calaveras,Calaveras County Office of Education,Mountain Ranch Community,39,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
05,61564,0531509,Calaveras,Calaveras Unified,Calaveras High,231,      80,    34.6,   518.9,NA,   518.0,NA,  1036.9,NA,NA,      52,    22.5,,,,
05,61564,0530022,Calaveras,Calaveras Unified,Gold Strike High,22,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
05,61564,0530113,Calaveras,Calaveras Unified,Jenny Lind High,5,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
05,61564,0530063,Calaveras,Calaveras Unified,West Point Alternative,2,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
06,10066,0630111,Colusa,Colusa County Office of Education,Colusa County Community,1,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
06,10066,6069264,Colusa,Colusa County Office of Education,Colusa County Special Education,10,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
06,10066,0634774,Colusa,Colusa County Office of Education,Juvenile Hall-Neilson,13,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
06,61598,0630012,Colusa,Colusa Unified,Colusa Alternative High (Continuation),14,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
